,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
46627,46627,29uCqXuWSaOB7G2v1bjFlw,Klubfiller;Rob Tissera;Steve Hill,"Full Length Cardio Workout, Vol. 8",Sunrise - 2021 Mix,19,364800,False,0.553,0.961,6,-3.368,0,0.0462,5.28e-05,0.151,0.145,0.435,150.009,4,happy
84803,84803,5MnLof1o5Wu4hX5zWgMjZY,Tomberlin,Projections,Wasted,54,149422,False,0.766,0.571,4,-9.764,1,0.0385,0.43,0.135,0.142,0.716,93.075,4,psych-rock
96608,96608,1nGPwLpbO7ImiKCAdqOMWA,Caetano Veloso,Outras Palavras,Rapte-Me Camaleoa,39,233800,False,0.59,0.493,2,-13.464,1,0.0374,0.252,0.000821,0.33,0.822,94.287,4,samba
24088,24088,36MbLj50Jt6QW0XAeJ7yae,Theo Parrish;Marsellus Pittman,"Essential Selections, Vol. 1",Night of the Sagitarius,14,620000,False,0.855,0.616,7,-11.486,1,0.12,0.026,0.88,0.044,0.51,113.915,4,detroit-techno
107638,107638,1mscYl0vNlVknI51wOWDG7,Sandra,Ten On One,Everlasting Love,56,227160,False,0.648,0.806,10,-11.078,1,0.032,0.154,0.029,0.163,0.473,120.024,4,synth-pop
63330,63330,6heynKdZXxOPe4sC6xOpQo,Mr.Children,Versus,LOVE,37,244160,False,0.671,0.626,9,-8.079,1,0.0234,0.12,8.29e-05,0.18,0.623,91.003,4,j-rock
91790,91790,6uPNJqmDLsgAJnNTR5V7QP,ZZ Top,80's,Sharp Dressed Man - 2003 Remaster,0,253413,False,0.527,0.786,5,-8.01,1,0.0362,0.000153,0.00271,0.085,0.343,125.117,4,rock
53072,53072,0zzVTGyRrWpQu8Fr28NRAv,Marshmello;Demi Lovato,OK Not To Be OK,OK Not To Be OK,75,159862,False,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,4,house
59146,59146,1Rnpbo60KYT311t0NEZZQg,Siavash Amini;Eugene Thacker,Songs for Sad Poets,Prisms of Sleep (For Jean-Joseph Rabearivelo),5,660057,False,0.136,0.106,2,-23.146,0,0.0636,0.0084,0.885,0.117,0.0311,141.471,4,iranian
29116,29116,02oT3HvcsXD64VwOBtH8yM,ILLENIUM;Dabin;Lights,Hearts on Fire,Hearts on Fire,53,236317,False,0.365,0.765,1,-4.449,1,0.0416,0.0088,2.06e-06,0.0959,0.241,179.955,3,dubstep
